"Homer's Night Out",database/avatars/simpsons/episodes/homers-night-out.webp
"Krusty Gets Busted",database/avatars/simpsons/episodes/krusty-gets-busted.webp
"The Call of the Simpsons",database/avatars/simpsons/episodes/the-call-of-the-simpsons.webp
"Life on the Fast Lane",database/avatars/simpsons/episodes/life-on-the-fast-lane.webp
"The Crepes of Wrath",database/avatars/simpsons/episodes/the-crepes-of-wrath.webp
"Some Enchanted Evening",database/avatars/simpsons/episodes/some-enchanted-evening.webp
"Simpsons Roasting on an Open Fire",database/avatars/simpsons/episodes/simpsons-roasting-on-an-open-fire.webp
"Bart the Genius",database/avatars/simpsons/episodes/bart-the-genius.webp
"There's No Disgrace Like Home",database/avatars/simpsons/episodes/theres-no-disgrace-like-home.webp
"Moaning Lisa",database/avatars/simpsons/episodes/moaning-lisa.webp
"The Telltale Head",database/avatars/simpsons/episodes/the-telltale-head.webp
"Bart the General",database/avatars/simpsons/episodes/bart-the-general.webp
"Homer's Odyssey",database/avatars/simpsons/episodes/homers-odyssey.webp
"Bart Gets an F",
"Two Cars in Every Garage and Three Eyes on Every Fish",database/avatars/simpsons/episodes/two-cars-in-every-garage-and-three-eyes-on-every-fish.webp
"Dead Putting Society",database/avatars/simpsons/episodes/dead-putting-society.webp
"Bart the Daredevil",database/avatars/simpsons/episodes/bart-the-daredevil.webp
"Bart Gets Hit by a Car",database/avatars/simpsons/episodes/bart-gets-hit-by-a-car.webp
"Homer vs. Lisa and the 8th Commandment",database/avatars/simpsons/episodes/homer-vs-lisa-and-the-8th-commandment.webp
"Oh Brother, Where Art Thou?",
"Old Money",database/avatars/simpsons/episodes/old-money.webp
"Lisa's Substitute",database/avatars/simpsons/episodes/lisas-substitute.webp
"Blood Feud",database/avatars/simpsons/episodes/blood-feud.webp
"One Fish, Two Fish, Blowfish, Blue Fish",
"Simpson and Delilah",database/avatars/simpsons/episodes/simpson-and-delilah.webp
"Treehouse of Horror",database/avatars/simpsons/episodes/treehouse-of-horror.webp
"Dancin' Homer",database/avatars/simpsons/episodes/dancin-homer.webp
"Bart vs. Thanksgiving",database/avatars/simpsons/episodes/bart-vs-thanksgiving.webp
"Itchy & Scratchy & Marge",database/avatars/simpsons/episodes/itchy-scratchy-marge.webp
"The Way We Was",database/avatars/simpsons/episodes/the-way-we-was.webp
"Principal Charming",database/avatars/simpsons/episodes/principal-charming.webp
"Bart's Dog Gets an F",database/avatars/simpsons/episodes/barts-dog-gets-an-f.webp
"The War of the Simpsons",database/avatars/simpsons/episodes/the-war-of-the-simpsons.webp
"Three Men and a Comic Book",database/avatars/simpsons/episodes/three-men-and-a-comic-book.webp
"Brush with Greatness",database/avatars/simpsons/episodes/brush-with-greatness.webp
"Mr. Lisa Goes to Washington",database/avatars/simpsons/episodes/mr-lisa-goes-to-washington.webp
"Bart the Murderer",database/avatars/simpsons/episodes/bart-the-murderer.webp
"Like Father, Like Clown",
"Saturdays of Thunder",database/avatars/simpsons/episodes/saturdays-of-thunder.webp
"Burns Verkaufen der Kraftwerk",database/avatars/simpsons/episodes/burns-verkaufen-der-kraftwerk.webp
"Radio Bart",database/avatars/simpsons/episodes/radio-bart.webp
"Bart the Lover",database/avatars/simpsons/episodes/bart-the-lover.webp
"Separate Vocations",database/avatars/simpsons/episodes/separate-vocations.webp
"Colonel Homer",database/avatars/simpsons/episodes/colonel-homer.webp
"Bart's Friend Falls in Love",database/avatars/simpsons/episodes/barts-friend-falls-in-love.webp
"Stark Raving Dad",database/avatars/simpsons/episodes/stark-raving-dad.webp
"When Flanders Failed",database/avatars/simpsons/episodes/when-flanders-failed.webp
"Homer Defined",database/avatars/simpsons/episodes/homer-defined.webp
"Dog of Death",database/avatars/simpsons/episodes/dog-of-death.webp
"Treehouse of Horror II",database/avatars/simpsons/episodes/treehouse-of-horror-ii.webp
"Lisa's Pony",database/avatars/simpsons/episodes/lisas-pony.webp
"I Married Marge",database/avatars/simpsons/episodes/i-married-marge.webp
"Lisa the Greek",database/avatars/simpsons/episodes/lisa-the-greek.webp
"The Otto Show",database/avatars/simpsons/episodes/the-otto-show.webp
"Homer Alone",database/avatars/simpsons/episodes/homer-alone.webp
"Homer at the Bat",database/avatars/simpsons/episodes/homer-at-the-bat.webp
"Black Widower",database/avatars/simpsons/episodes/black-widower.webp
"Flaming Moe's",database/avatars/simpsons/episodes/flaming-moes.webp
"Brother, Can You Spare Two Dimes?",
"Kamp Krusty",database/avatars/simpsons/episodes/kamp-krusty.webp
"Itchy & Scratchy: The Movie",database/avatars/simpsons/episodes/itchy-scratchy-the-movie.webp
"Lisa's First Word",database/avatars/simpsons/episodes/lisas-first-word.webp
"Selma's Choice",database/avatars/simpsons/episodes/selmas-choice.webp
"Marge in Chains",database/avatars/simpsons/episodes/marge-in-chains.webp
"New Kid on the Block",database/avatars/simpsons/episodes/new-kid-on-the-block.webp
"Homer's Triple Bypass",database/avatars/simpsons/episodes/homers-triple-bypass.webp
Duffless,database/avatars/simpsons/episodes/duffless.webp
"So It's Come to This: A Simpsons Clip Show",database/avatars/simpsons/episodes/so-its-come-to-this-a-simpsons-clip-show.webp
"The Front",database/avatars/simpsons/episodes/the-front.webp
"Brother from the Same Planet",database/avatars/simpsons/episodes/brother-from-the-same-planet.webp
"Marge vs. the Monorail",database/avatars/simpsons/episodes/marge-vs-the-monorail.webp
"I Love Lisa",database/avatars/simpsons/episodes/i-love-lisa.webp
"Marge Gets a Job",database/avatars/simpsons/episodes/marge-gets-a-job.webp
"Last Exit to Springfield",database/avatars/simpsons/episodes/last-exit-to-springfield.webp
"Whacking Day",database/avatars/simpsons/episodes/whacking-day.webp
"Lisa the Beauty Queen",database/avatars/simpsons/episodes/lisa-the-beauty-queen.webp
"Krusty Gets Kancelled",database/avatars/simpsons/episodes/krusty-gets-kancelled.webp
"A Streetcar Named Marge",database/avatars/simpsons/episodes/a-streetcar-named-marge.webp
"Treehouse of Horror III",database/avatars/simpsons/episodes/treehouse-of-horror-iii.webp
"Mr. Plow",database/avatars/simpsons/episodes/mr-plow.webp
"Homer the Heretic",database/avatars/simpsons/episodes/homer-the-heretic.webp
"Homer's Barbershop Quartet",database/avatars/simpsons/episodes/homers-barbershop-quartet.webp
"Homer Goes to College",database/avatars/simpsons/episodes/homer-goes-to-college.webp
"Marge on the Lam",database/avatars/simpsons/episodes/marge-on-the-lam.webp
"Boy-Scoutz 'n the Hood",database/avatars/simpsons/episodes/boy-scoutz-n-the-hood.webp
"Homer the Vigilante",database/avatars/simpsons/episodes/homer-the-vigilante.webp
"Bart Gets Famous",database/avatars/simpsons/episodes/bart-gets-famous.webp
"Lisa vs. Malibu Stacy",database/avatars/simpsons/episodes/lisa-vs-malibu-stacy.webp
"Bart Gets an Elephant",database/avatars/simpsons/episodes/bart-gets-an-elephant.webp
"Lady Bouvier's Lover",database/avatars/simpsons/episodes/lady-bouviers-lover.webp
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",
"Treehouse of Horror IV",database/avatars/simpsons/episodes/treehouse-of-horror-iv.webp
"The Last Temptation of Homer",database/avatars/simpsons/episodes/the-last-temptation-of-homer.webp
Rosebud,database/avatars/simpsons/episodes/rosebud.webp
"Homer and Apu",database/avatars/simpsons/episodes/homer-and-apu.webp
"Homer Loves Flanders",database/avatars/simpsons/episodes/homer-loves-flanders.webp
"Burns' Heir",database/avatars/simpsons/episodes/burns-heir.webp
"Secrets of a Successful Marriage",database/avatars/simpsons/episodes/secrets-of-a-successful-marriage.webp
"Cape Feare",database/avatars/simpsons/episodes/cape-feare.webp
"Bart's Inner Child",database/avatars/simpsons/episodes/barts-inner-child.webp
"Deep Space Homer",database/avatars/simpsons/episodes/deep-space-homer.webp
"Sweet Seymour Skinner's Baadasssss Song",database/avatars/simpsons/episodes/sweet-seymour-skinners-baadasssss-song.webp
"The Boy Who Knew Too Much",database/avatars/simpsons/episodes/the-boy-who-knew-too-much.webp
"Bart of Darkness",database/avatars/simpsons/episodes/bart-of-darkness.webp
"Itchy & Scratchy Land",database/avatars/simpsons/episodes/itchy-scratchy-land.webp
"Lisa on Ice",database/avatars/simpsons/episodes/lisa-on-ice.webp
"Fear of Flying",database/avatars/simpsons/episodes/fear-of-flying.webp
"And Maggie Makes Three",database/avatars/simpsons/episodes/and-maggie-makes-three.webp
"Homie the Clown",database/avatars/simpsons/episodes/homie-the-clown.webp
"Homer vs. Patty and Selma",database/avatars/simpsons/episodes/homer-vs-patty-and-selma.jpg
"Two Dozen and One Greyhounds",database/avatars/simpsons/episodes/two-dozen-and-one-greyhounds.webp
"'Round Springfield",database/avatars/simpsons/episodes/round-springfield.webp
"Lemon of Troy",database/avatars/simpsons/episodes/lemon-of-troy.webp
